CustomerID,Age,Gender,ContractType,SignupDate
CUST_0,43.0,Male,Yearly,2021-03-20
CUST_1,43.0,Female,Prepaid,2020-01-25
CUST_2,46.0,Female,Monthly,2022-08-31
CUST_3,43.0,Female,Prepaid,2018-12-09
CUST_4,60.0,Male,Monthly,2022-12-28
CUST_5,25.0,Female,Prepaid,2022-08-02
CUST_6,38.0,Female,Yearly,2022-11-05
CUST_7,43.0,Female,Monthly,2018-12-25
CUST_8,36.0,Male,Yearly,2022-12-20
CUST_9,43.0,Male,Yearly,2022-10-16
CUST_10,43.0,Female,Prepaid,2022-04-29
CUST_11,43.0,Female,Monthly,2021-04-02
CUST_12,41.0,Female,Yearly,2022-07-19
CUST_13,53.0,Male,Monthly,2022-02-21
CUST_14,43.0,Male,Monthly,2023-06-04
CUST_15,41.0,Male,Monthly,2019-03-13
CUST_16,20.0,Female,Monthly,2018-02-06
CUST_17,43.0,Male,Prepaid,2021-10-10
CUST_18,19.0,Female,Monthly,2018-09-17
CUST_19,41.0,Female,Prepaid,2021-12-01
CUST_20,61.0,Male,Prepaid,2019-06-09
CUST_21,47.0,Female,Prepaid,2020-12-25
CUST_22,55.0,Male,Prepaid,2020-10-08
CUST_23,43.0,Female,Monthly,2022-12-17
CUST_24,38.0,Female,Prepaid,2018-07-02
CUST_25,50.0,Male,Prepaid,2022-05-17
CUST_26,29.0,Female,Monthly,2018-10-26
CUST_27,39.0,Female,Monthly,2021-07-06
CUST_28,43.0,Female,Monthly,2022-09-13
CUST_29,42.0,Female,Yearly,2021-09-04
CUST_30,43.0,Female,Prepaid,2019-06-13
CUST_31,44.0,Female,Prepaid,2019-03-11
CUST_32,59.0,Female,Prepaid,2023-03-02
CUST_33,45.0,Female,Yearly,2019-12-24
CUST_34,33.0,Male,Monthly,2022-05-03
CUST_35,32.0,Male,Prepaid,2018-09-25
CUST_36,64.0,Female,Prepaid,2021-08-27
CUST_37,68.0,Female,Monthly,2018-06-27
CUST_38,43.0,Male,Prepaid,2022-01-30
CUST_39,69.0,Female,Monthly,2018-09-26
CUST_40,20.0,Male,Yearly,2020-01-08
CUST_41,54.0,Male,Monthly,2020-04-12
CUST_42,68.0,Male,Yearly,2021-01-28
CUST_43,24.0,Female,Prepaid,2022-04-30
CUST_44,38.0,Female,Monthly,2019-11-03
CUST_45,26.0,Female,Yearly,2023-01-19
CUST_46,56.0,Male,Monthly,2018-07-31
CUST_47,35.0,Male,Monthly,2018-03-29
CUST_48,43.0,Male,Monthly,2022-05-27
CUST_49,43.0,Female,Yearly,2019-11-18
CUST_50,31.0,Male,Prepaid,2018-06-12
CUST_51,67.0,Male,Prepaid,2022-05-30
CUST_52,26.0,Female,Prepaid,2022-01-01
CUST_53,43.0,Male,Yearly,2020-11-17
CUST_54,19.0,Male,Yearly,2019-05-30
CUST_55,37.0,Female,Prepaid,2021-11-03
CUST_56,45.0,Female,Prepaid,2018-09-17
CUST_57,64.0,Male,Yearly,2021-03-10
CUST_58,24.0,Female,Prepaid,2019-05-21
CUST_59,43.0,Male,Prepaid,2018-12-06
CUST_60,25.0,Female,Prepaid,2019-09-22
CUST_61,43.0,Male,Prepaid,2021-08-19
CUST_62,43.0,Female,Monthly,2019-06-11
CUST_63,43.0,Male,Monthly,2021-04-03
CUST_64,34.0,Female,Monthly,2023-06-16
CUST_65,53.0,Female,Yearly,2021-04-28
CUST_66,67.0,Female,Prepaid,2020-03-25
CUST_67,57.0,Female,Prepaid,2018-06-22
CUST_68,21.0,Female,Yearly,2021-10-01
CUST_69,19.0,Female,Monthly,2022-11-15
CUST_70,23.0,Female,Prepaid,2020-04-03
CUST_71,59.0,Male,Prepaid,2021-04-02
CUST_72,21.0,Male,Prepaid,2022-11-17
CUST_73,46.0,Female,Monthly,2021-03-20
CUST_74,35.0,Female,Prepaid,2022-08-31
CUST_75,43.0,Male,Monthly,2018-11-19
CUST_76,43.0,Male,Prepaid,2023-04-26
CUST_77,43.0,Female,Yearly,2019-03-21
CUST_78,43.0,Male,Prepaid,2022-05-26
CUST_79,53.0,Male,Monthly,2023-05-25
CUST_80,31.0,Female,Prepaid,2021-11-01
CUST_81,48.0,Female,Prepaid,2020-08-12
CUST_82,65.0,Female,Monthly,2018-04-07
CUST_83,43.0,Male,Monthly,2021-08-15
CUST_84,43.0,Female,Monthly,2022-03-10
CUST_85,31.0,Female,Monthly,2019-07-16
CUST_86,40.0,Male,Prepaid,2018-07-04
CUST_87,57.0,Female,Monthly,2020-04-18
CUST_88,43.0,Male,Prepaid,2022-11-25
CUST_89,33.0,Male,Prepaid,2023-02-06
CUST_90,62.0,Male,Monthly,2022-09-16
CUST_91,35.0,Male,Yearly,2019-07-28
CUST_92,64.0,Male,Monthly,2018-06-09
CUST_93,41.0,Male,Yearly,2020-08-08
CUST_94,43.0,Female,Yearly,2020-01-30
CUST_95,43.0,Female,Prepaid,2019-07-15
CUST_96,43.0,Female,Yearly,2023-01-30
CUST_97,58.0,Male,Monthly,2023-05-05
CUST_98,43.0,Female,Yearly,2022-11-15
CUST_99,32.0,Male,Monthly,2021-04-20
CUST_100,62.0,Female,Monthly,2021-10-14
CUST_101,18.0,Male,Monthly,2019-11-19
CUST_102,42.0,Female,Prepaid,2021-07-22
CUST_103,24.0,Male,Yearly,2021-03-04
CUST_104,43.0,Female,Prepaid,2018-11-02
CUST_105,43.0,Male,Prepaid,2018-05-13
CUST_106,18.0,Female,Prepaid,2022-01-29
CUST_107,61.0,Male,Prepaid,2022-07-08
CUST_108,25.0,Female,Prepaid,2021-07-04
CUST_109,41.0,Female,Prepaid,2022-05-29
CUST_110,43.0,Female,Monthly,2023-04-17
CUST_111,68.0,Male,Monthly,2018-01-23
CUST_112,34.0,Male,Prepaid,2019-03-17
CUST_113,25.0,Male,Prepaid,2021-06-12
CUST_114,43.0,Male,Yearly,2023-03-24
CUST_115,52.0,Male,Prepaid,2021-10-15
CUST_116,43.0,Female,Prepaid,2023-06-24
CUST_117,22.0,Male,Prepaid,2020-10-18
CUST_118,43.0,Female,Prepaid,2019-08-30
CUST_119,56.0,Female,Monthly,2022-10-14
CUST_120,58.0,Male,Prepaid,2023-02-21
CUST_121,45.0,Female,Monthly,2020-12-27
CUST_122,24.0,Male,Prepaid,2018-01-04
CUST_123,26.0,Male,Monthly,2020-06-25
CUST_124,43.0,Male,Monthly,2023-01-27
CUST_125,43.0,Female,Prepaid,2023-05-05
CUST_126,43.0,Male,Prepaid,2021-04-11
CUST_127,43.0,Male,Prepaid,2022-05-16
CUST_128,43.0,Male,Monthly,2019-03-09
CUST_129,40.0,Female,Prepaid,2018-09-23
CUST_130,41.0,Male,Monthly,2020-12-18
CUST_131,54.0,Female,Prepaid,2020-08-19
CUST_132,43.0,Female,Prepaid,2022-02-27
CUST_133,61.0,Male,Prepaid,2020-04-01
CUST_134,57.0,Female,Prepaid,2020-04-09
CUST_135,43.0,Female,Prepaid,2018-12-15
CUST_136,44.0,Male,Prepaid,2021-05-03
CUST_137,52.0,Male,Monthly,2019-03-25
CUST_138,43.0,Male,Prepaid,2023-05-04
CUST_139,43.0,Female,Monthly,2021-12-07
CUST_140,43.0,Male,Monthly,2021-07-16
CUST_141,43.0,Female,Monthly,2018-06-21
CUST_142,31.0,Female,Yearly,2020-11-13
CUST_143,20.0,Female,Prepaid,2020-01-07
CUST_144,43.0,Female,Prepaid,2019-06-08
CUST_145,22.0,Female,Monthly,2018-07-04
CUST_146,43.0,Male,Monthly,2019-01-01
CUST_147,31.0,Male,Monthly,2021-03-03
CUST_148,56.0,Female,Prepaid,2023-05-17
CUST_149,43.0,Female,Monthly,2022-12-27
CUST_150,26.0,Male,Yearly,2019-06-26
CUST_151,32.0,Male,Prepaid,2018-07-16
CUST_152,32.0,Female,Yearly,2019-05-28
CUST_153,43.0,Female,Prepaid,2019-02-08
CUST_154,43.0,Male,Prepaid,2020-10-14
CUST_155,30.0,Male,Prepaid,2021-08-02
CUST_156,68.0,Female,Monthly,2019-02-21
CUST_157,49.0,Male,Monthly,2018-07-11
CUST_158,43.0,Male,Monthly,2022-04-17
CUST_159,66.0,Female,Monthly,2019-09-01
CUST_160,69.0,Female,Prepaid,2022-12-17
CUST_161,43.0,Female,Prepaid,2022-05-15
CUST_162,43.0,Male,Prepaid,2019-04-12
CUST_163,43.0,Female,Yearly,2021-09-09
CUST_164,43.0,Male,Prepaid,2018-05-27
CUST_165,43.0,Female,Yearly,2023-09-06
CUST_166,56.0,Female,Prepaid,2018-04-27
CUST_167,62.0,Male,Prepaid,2022-06-12
CUST_168,32.0,Male,Prepaid,2018-09-04
CUST_169,60.0,Female,Prepaid,2021-04-22
CUST_170,46.0,Female,Yearly,2022-11-13
CUST_171,53.0,Male,Monthly,2018-12-19
CUST_172,30.0,Female,Yearly,2021-10-06
CUST_173,49.0,Male,Yearly,2019-10-09
CUST_174,43.0,Male,Monthly,2021-12-07
CUST_175,43.0,Female,Monthly,2019-09-15
CUST_176,43.0,Male,Monthly,2018-07-17
CUST_177,45.0,Male,Monthly,2019-05-20
CUST_178,19.0,Male,Prepaid,2018-04-01
CUST_179,59.0,Female,Monthly,2022-04-03
CUST_180,43.0,Male,Monthly,2020-03-28
CUST_181,43.0,Female,Prepaid,2022-12-19
CUST_182,45.0,Female,Monthly,2023-11-03
CUST_183,45.0,Female,Yearly,2019-01-31
CUST_184,61.0,Male,Monthly,2021-06-23
CUST_185,61.0,Male,Monthly,2020-07-01
CUST_186,37.0,Female,Prepaid,2021-03-29
CUST_187,47.0,Female,Monthly,2020-08-22
CUST_188,28.0,Male,Prepaid,2020-09-05
CUST_189,45.0,Female,Yearly,2018-04-28
CUST_190,42.0,Female,Yearly,2021-08-25
CUST_191,43.0,Male,Yearly,2019-01-01
CUST_192,43.0,Female,Prepaid,2018-11-09
CUST_193,18.0,Male,Prepaid,2021-04-04
CUST_194,44.0,Male,Yearly,2022-03-30
